time,open,high,low,close,Volume
2016-09-09T15:00:00+07:00,619.29,621.73,617.74,620.12,647.36331568
2016-09-09T19:00:00+07:00,619.2,621.99,619.01,620.57,431.00717845
2016-09-09T23:00:00+07:00,620.55,621.78,619.01,620.84,636.5376314
2016-09-10T03:00:00+07:00,621.38,623.99,620.83,622.01,438.89815848
2016-09-10T07:00:00+07:00,622.01,623.1,618.67,619.52,234.96697727
2016-09-10T11:00:00+07:00,620.73,623.38,619.75,622.1,190.34164022
2016-09-10T15:00:00+07:00,623.25,625,622.04,622.5,353.95435616
2016-09-10T19:00:00+07:00,622.69,623.8,619.77,620.5,338.50134654
2016-09-10T23:00:00+07:00,621.6,623.75,620.44,623.12,217.14198236
2016-09-11T03:00:00+07:00,623.12,623.75,621.6,621.65,192.93123258
2016-09-11T07:00:00+07:00,621.65,622,620.61,621.13,54.87501615
2016-09-11T11:00:00+07:00,621.98,622,619.05,620.95,139.99472825
2016-09-11T15:00:00+07:00,621.98,623.5,620.72,621.91,139.48506626
2016-09-11T19:00:00+07:00,622.39,623.5,621.54,623.04,165.45606901
2016-09-11T23:00:00+07:00,623.04,628.99,595,600.61,3288.56575748
2016-09-12T03:00:00+07:00,599.45,606.32,594.63,606.32,1548.57493455
2016-09-12T07:00:00+07:00,604.08,607,603.5,605.34,432.203247
2016-09-12T11:00:00+07:00,605.19,608.88,604.8,606.3,602.61669247
2016-09-12T15:00:00+07:00,606.11,606.78,602,606.42,808.84336526
2016-09-12T19:00:00+07:00,605.02,606.99,603.8,605.99,487.64925432
2016-09-12T23:00:00+07:00,605.99,609.15,603.58,606.24,869.353734
2016-09-13T03:00:00+07:00,606.24,608.11,605.69,608.04,311.61607746
2016-09-13T07:00:00+07:00,606.4,609.39,605.43,608.2,259.84377729
2016-09-13T11:00:00+07:00,606.35,608.66,604.82,604.94,217.14372984
2016-09-13T15:00:00+07:00,605,608.5,603.28,607.4,961.45648056
2016-09-13T19:00:00+07:00,607.4,609,604.39,604.47,934.62831192
2016-09-13T23:00:00+07:00,604.47,609.61,604.38,607.89,656.10694572
