time,open,high,low,close,Volume,Volume MA
2023-08-17T10:00:00+07:00,28559,28660,28547,28625,22.93548408,103.73188337600087
2023-08-17T11:00:00+07:00,28627,28667,28578,28615,8.92254026,101.74524924250086
2023-08-17T12:00:00+07:00,28613,28640,28600,28639,34.79978164,99.50348449650086
2023-08-17T13:00:00+07:00,28640,28656,28619,28649,65.22215367,100.75555199000085
2023-08-17T14:00:00+07:00,28649,28649,28561,28582,93.05144679,104.39051715700084
2023-08-17T15:00:00+07:00,28584,28598,28519,28520,28.53734848,94.81583614400084
2023-08-17T16:00:00+07:00,28519,28581,28487,28553,63.14144206,88.66090320150084
2023-08-17T17:00:00+07:00,28557,28570,28466,28507,88.85048427,90.34823457400084
2023-08-17T18:00:00+07:00,28505,28528,28454,28503,69.27614939,90.47845849300084
2023-08-17T19:00:00+07:00,28504,28533,28401,28463,138.74518924,89.02021793150084
2023-08-17T20:00:00+07:00,28462,28510,28345,28358,146.74602231,94.42557611700083
2023-08-17T21:00:00+07:00,28358,28414,28255,28349,123.62802363,98.24203172450083
2023-08-17T22:00:00+07:00,28348,28453,27820,27896,585.78302203,125.54825662700082
2023-08-17T23:00:00+07:00,27899,28051,27683,27894,558.16354426,136.99669980700082
2023-08-18T00:00:00+07:00,27910,28005,27910,27948,73.46443695,135.94512597750082
2023-08-18T01:00:00+07:00,27943,27993,27834,27836,30.98770743,136.55684511100085
2023-08-18T02:00:00+07:00,27847,27938,27823,27852,79.29309709,133.09167217650085
2023-08-18T03:00:00+07:00,27855,27885,27502,27644,175.70054033,121.41753415950086
2023-08-18T04:00:00+07:00,27643,27696,26266,26401,860.93437776,163.00326541900085
2023-08-18T05:00:00+07:00,26488,26904,26298,26788,775.78048927,201.19816404700086
2023-08-18T06:00:00+07:00,26800,26996,26466,26642,475.31002348,223.81689101700084
2023-08-18T07:00:00+07:00,26632,26813,26595,26741,54.3175183,226.0866399190009
2023-08-18T08:00:00+07:00,26737,26758,26568,26618,26.25890153,225.65959591350088
2023-08-18T09:00:00+07:00,26612,26680,26471,26484,37.26425898,224.26170117900088
2023-08-18T10:00:00+07:00,26480,26514,26320,26403,50.90373176,222.15431542750085
2023-08-18T11:00:00+07:00,26399,26436,26172,26261,175.34640594,229.49476830050085
2023-08-18T12:00:00+07:00,26263,26527,26261,26442,58.10973468,229.24318293150083
2023-08-18T13:00:00+07:00,26442,26604,26439,26502,226.27634538,236.1144759870008
2023-08-18T14:00:00+07:00,26499,26519,26413,26413,48.21794187,235.0615656110008
2023-08-18T15:00:00+07:00,26414,26589,26412,26586,68.67227146,231.55791972200078
2023-08-18T16:00:00+07:00,26581,26600,26422,26445,26.64583718,225.5529104655008
2023-08-18T17:00:00+07:00,26448,26457,26381,26439,46.08536395,221.6757774815008
2023-08-18T18:00:00+07:00,26439,26500,26378,26478,89.41557217,196.85740498850078
2023-08-18T19:00:00+07:00,26480,26490,26312,26320,68.91505205,172.39498037800078
2023-08-18T20:00:00+07:00,26320,26367,26215,26221,143.62415137,175.9029660990008
2023-08-18T21:00:00+07:00,26236,26291,25975,25996,266.80949201,187.6940553280008
2023-08-18T22:00:00+07:00,25999,26231,25924,25970,292.91521206,198.37516107650077
2023-08-18T23:00:00+07:00,25974,26130,25767,25892,169.46148549,198.06320833450079
2023-08-19T00:00:00+07:00,25891,26090,25601,25997,415.59016625,175.79599775900078
2023-08-19T01:00:00+07:00,25997,26289,25906,26110,156.02451841,144.8081992160008
2023-08-19T02:00:00+07:00,26105,26121,25975,26046,71.17835659,124.60161587150078
2023-08-19T03:00:00+07:00,26045,26225,26028,26070,57.2414648,124.74781319650079
2023-08-19T04:00:00+07:00,26071,26166,26053,26053,17.27780868,124.29875855400078
2023-08-19T05:00:00+07:00,26051,26107,26035,26067,37.27945957,124.2995185835008
2023-08-19T06:00:00+07:00,26067,26092,26005,26051,36.55159991,123.5819119910008
2023-08-19T07:00:00+07:00,26051,26141,26015,26093,29.81831769,116.30550757850081
2023-08-19T08:00:00+07:00,26089,26096,26011,26011,48.51689889,115.8258657890008
2023-08-19T09:00:00+07:00,26010,26058,25994,25998,21.47179493,105.58563826650081
2023-08-19T10:00:00+07:00,25997,25997,25920,25959,36.38911124,104.99419673500083
2023-08-19T11:00:00+07:00,25958,26003,25916,25986,18.0444249,102.46280440700085
2023-08-19T12:00:00+07:00,25986,25989,25872,25884,25.32375045,102.39670007050084
2023-08-19T13:00:00+07:00,25875,25913,25823,25826,61.5891495,103.17188934800083
2023-08-19T14:00:00+07:00,25832,25912,25798,25908,87.38560218,103.07039084850085
2023-08-19T15:00:00+07:00,25912,25987,25892,25927,56.7824383,102.46376016100085
2023-08-19T16:00:00+07:00,25913,25952,25883,25939,33.25711956,96.94540857050086
2023-08-19T17:00:00+07:00,25939,25946,25891,25906,24.22645696,84.81625681800085
