time,open,high,low,close,volume,volume_ma
2023-09-08T12:00:00+07:00,1924.595,1926.015,1924.38,1925.785,2426,4994.45
2023-09-08T13:00:00+07:00,1925.785,1927.375,1924.93,1925.375,4763,5050.45
2023-09-08T14:00:00+07:00,1925.375,1925.995,1923.93,1924.165,4685,5116.7
2023-09-08T15:00:00+07:00,1924.165,1924.855,1923.45,1924.75,4082,5105.15
2023-09-08T16:00:00+07:00,1924.75,1925.925,1923.975,1925.25,3397,4605.15
2023-09-08T17:00:00+07:00,1925.25,1925.645,1923.43,1923.56,3077,3971.45
2023-09-08T18:00:00+07:00,1923.56,1924.0,1922.685,1923.05,3515,3559.4
2023-09-08T19:00:00+07:00,1923.05,1926.11,1920.425,1920.49,8437,3613.75
2023-09-08T20:00:00+07:00,1920.49,1928.89,1920.25,1928.7,14696,4124.0
2023-09-08T21:00:00+07:00,1928.7,1929.75,1923.87,1923.9,12999,4566.0
2023-09-08T22:00:00+07:00,1923.9,1924.315,1919.23,1919.66,8709,4829.75
2023-09-08T23:00:00+07:00,1919.66,1919.97,1917.385,1919.755,6181,4995.9
2023-09-09T00:00:00+07:00,1919.755,1920.55,1918.89,1920.5,2936,5079.95
2023-09-09T01:00:00+07:00,1920.5,1920.745,1918.43,1918.65,2234,5148.5
2023-09-09T02:00:00+07:00,1918.65,1919.465,1918.155,1919.265,2093,5203.25
2023-09-09T03:00:00+07:00,1919.265,1919.475,1918.83,1919.085,958,5037.95
2023-09-11T05:00:00+07:00,1919.085,1919.88,1918.04,1918.39,2035,4772.45
2023-09-11T06:00:00+07:00,1918.39,1919.73,1916.63,1918.945,2458,4684.4
2023-09-11T07:00:00+07:00,1918.945,1920.285,1918.42,1920.135,3313,4730.65
2023-09-11T08:00:00+07:00,1920.135,1923.285,1919.155,1922.485,6525,4975.95
2023-09-11T09:00:00+07:00,1922.485,1924.19,1922.395,1922.74,4632,5086.25
2023-09-11T10:00:00+07:00,1922.74,1923.68,1922.355,1923.385,2831,4989.65
2023-09-11T11:00:00+07:00,1923.385,1926.81,1923.025,1926.58,3982,4954.5
2023-09-11T12:00:00+07:00,1926.58,1928.09,1926.045,1927.76,6552,5078.0
2023-09-11T13:00:00+07:00,1927.76,1928.71,1926.37,1927.975,5529,5184.6
2023-09-11T14:00:00+07:00,1927.975,1930.78,1926.335,1926.52,6510,5356.25
2023-09-11T15:00:00+07:00,1926.52,1927.855,1925.44,1927.78,4761,5418.55
2023-09-11T16:00:00+07:00,1927.78,1928.1,1925.37,1925.425,4191,5206.25
2023-09-11T17:00:00+07:00,1925.425,1926.38,1924.775,1925.85,3368,4639.85
2023-09-11T18:00:00+07:00,1925.85,1926.57,1924.725,1925.26,4363,4208.05
2023-09-11T19:00:00+07:00,1925.26,1927.365,1924.26,1927.325,8157,4180.45
2023-09-11T20:00:00+07:00,1927.325,1930.175,1924.425,1925.91,13567,4549.75
2023-09-11T21:00:00+07:00,1925.91,1926.75,1921.6,1922.635,12359,5020.9
2023-09-11T22:00:00+07:00,1922.635,1924.46,1921.435,1923.075,6640,5241.2
