time,open,high,low,close,volume,volume_ma
2021-07-09T20:00:00+07:00,2111.27,2148.84,2107.65,2142.81,5894.150578,3896.760922650039
2021-07-09T21:00:00+07:00,2142.8,2189.1,2134.03,2182.45,9594.517596,4266.421017950039
2021-07-09T22:00:00+07:00,2182.14,2184.27,2166.01,2171.74,2826.575149,4277.221601450039
2021-07-09T23:00:00+07:00,2171.8,2184.0,2156.16,2163.37,4416.852278,4419.335419700039
2021-07-10T00:00:00+07:00,2163.34,2163.88,2137.18,2146.65,3567.332396,4367.59663830004
2021-07-10T01:00:00+07:00,2146.08,2148.76,2128.34,2131.24,4966.949133,4355.28826005004
2021-07-10T02:00:00+07:00,2131.25,2143.38,2121.15,2133.72,2060.508118,4324.117469950039
2021-07-10T03:00:00+07:00,2133.59,2137.13,2123.0,2135.69,1589.50517,4116.16976740004
2021-07-10T04:00:00+07:00,2135.62,2165.41,2127.22,2146.49,2975.919314,3973.07145785004
2021-07-10T05:00:00+07:00,2146.77,2168.35,2146.62,2164.72,2784.326737,3908.37888250004
2021-07-10T06:00:00+07:00,2164.25,2167.74,2144.48,2146.89,1674.659266,3756.33442075004
2021-07-10T07:00:00+07:00,2146.68,2192.64,2139.97,2177.67,7042.305164,3938.29679500004
2021-07-10T08:00:00+07:00,2177.67,2177.69,2148.35,2149.2,2103.797898,3881.49539705004
2021-07-10T09:00:00+07:00,2149.19,2151.84,2130.28,2134.86,2495.727094,3809.17178265004
2021-07-10T10:00:00+07:00,2135.53,2145.52,2122.88,2134.04,1707.318664,3747.36182960004
2021-07-10T11:00:00+07:00,2133.48,2142.61,2104.12,2106.86,3881.547738,3676.0674975000393
2021-07-10T12:00:00+07:00,2106.85,2122.89,2095.38,2115.36,2778.566192,3578.7885520500395
2021-07-10T13:00:00+07:00,2115.0,2137.59,2108.02,2133.27,2265.032449,3577.1398202500395
2021-07-10T14:00:00+07:00,2133.27,2133.27,2106.51,2121.87,1534.114373,3545.02934520004
2021-07-10T15:00:00+07:00,2121.88,2139.57,2112.78,2122.41,2247.930696,3420.3818001500395
2021-07-10T16:00:00+07:00,2122.32,2131.83,2114.45,2118.27,2597.619219,3255.5552322000394
2021-07-10T17:00:00+07:00,2118.28,2124.14,2085.76,2089.94,3171.598458,2934.40927530004
2021-07-10T18:00:00+07:00,2090.47,2124.9,2086.81,2110.52,3661.189918,2976.14001375004
2021-07-10T19:00:00+07:00,2109.36,2119.76,2103.2,2117.99,1317.878129,2821.19130630004
2021-07-10T20:00:00+07:00,2117.4,2122.02,2092.0,2099.48,3300.34388,2807.84188050004
2021-07-10T21:00:00+07:00,2099.52,2115.54,2095.58,2111.31,1704.326062,2644.71072695004
2021-07-10T22:00:00+07:00,2111.71,2126.6,2106.77,2118.76,1751.930328,2629.2818374500403
2021-07-10T23:00:00+07:00,2118.77,2159.42,2115.83,2134.51,4792.460323,2789.4295951000404
2021-07-11T00:00:00+07:00,2134.51,2134.51,2073.54,2086.23,7023.020109,2991.78463485004
